,Rd,Tt,g,ma,ms,thickness,dms,c0,c1,r2,abs,c0_tt,c1_tt,r2_tt
106,0.202670015625,0.6134609375,0.92,0.5,50,0.2,3.9999999999999982,-3.292727172121946,0.16623925847541124,0.9990222035224515,-2.3025850929940455,-3.270654806767221,0.1483476904207189,0.9964586011727913
107,0.257148890625,0.47280384375,0.92,0.5,50,0.3,3.9999999999999982,-2.762827501951055,0.129584566238272,0.9995266589945271,-1.8971199848858813,-2.9484896146116797,0.2604914020313787,0.9980365489203633
108,0.31120653125,0.51811671875,0.92,0.5,100,0.16,7.9999999999999964,-4.848308650102592,0.6709156446509692,0.99872881400844,-2.5257286443082556,-4.841890832823671,0.6615780454623265,0.9957470148448225
109,0.3489196875,0.44222746875,0.92,0.5,100,0.2,7.9999999999999964,-4.390514523205873,0.6372381863593225,0.9989172223176894,-2.3025850929940455,-4.419707039912078,0.6447200887239407,0.9973394743000735
110,0.4076075625,0.30004925,0.92,0.5,100,0.3,7.9999999999999964,-3.712920155776283,0.5469078016022445,0.999219250510824,-1.8971199848858813,-3.540502287903621,0.44008764623264074,0.9983044057176585
111,0.35390696875,0.47089290625,0.92,0.5,120,0.16,9.599999999999994,-5.250521626256808,0.7828090406776935,0.9989480942777795,-2.5257286443082556,-5.106165524865865,0.6944580327204285,0.9945894063048967
112,0.39233059375,0.3947168125,0.92,0.5,120,0.2,9.599999999999994,-4.7284928538035205,0.729666969967633,0.9988600440002424,-2.3025850929940455,-4.724177126721585,0.7226569350036841,0.9978108731646407
113,0.44643140625,0.2590208125,0.92,0.5,120,0.3,9.599999999999994,-3.976281653684051,0.617095802466368,0.9989811799246896,-1.8971199848858813,-3.8141710801915703,0.5056418398373849,0.9983700022784545
114,0.45225015625,0.36437915625,0.92,0.5,180,0.16,14.399999999999993,-6.161295474504567,0.9775708842029472,0.9966143343555136,-2.5257286443082556,-6.141821230360969,0.9570315998034784,0.9913203869886417
115,0.4855096875,0.29480090625,0.92,0.5,180,0.2,14.399999999999993,-5.482428571505843,0.8790921331821142,0.9981795543322294,-2.3025850929940455,-5.337310881576615,0.7931593698406925,0.9939237416406599
116,0.5284549375,0.1780776875,0.92,0.5,180,0.3,14.399999999999993,-4.560343489763266,0.7126998026674138,0.9982670020003038,-1.8971199848858813,-4.228746185501845,0.48471143755345164,0.9977437688272784
117,0.47690953125,0.33827303125,0.92,0.5,200,0.16,15.999999999999993,-6.366194627866012,0.9991589885581365,0.9921102437869047,-2.5257286443082556,-6.092639123847798,0.8457046985125941,0.9863073905788713
118,0.50894853125,0.27062134375,0.92,0.5,200,0.2,15.999999999999993,-5.577232046364062,0.8628558309156356,0.9979657185820435,-2.3025850929940455,-5.566904293424232,0.8459621776850832,0.9953770386454699
119,0.548443375,0.1594635,0.92,0.5,200,0.3,15.999999999999993,-4.714456107093522,0.7234342220656692,0.9976342000448646,-1.8971199848858813,-4.322153249914389,0.46671773800123034,0.9973490099797476
120,0.144806484375,0.6061231875,0.92,1.0,50,0.16,3.9999999999999982,-3.907143354954358,0.1336235404446492,0.9986554648259198,-1.8325814637483102,-3.8635915821880733,0.10002221006370195,0.9969813119373605
121,0.16455228125,0.5276718125,0.92,1.0,50,0.2,3.9999999999999982,-3.5721823583949535,0.1303799343620592,0.9991542209659903,-1.6094379124341003,-3.6219950223551067,0.16230702557852394,0.9966873797656628
122,0.19633184375,0.368920625,0.92,1.0,50,0.3,3.9999999999999982,-3.068460537138062,0.08552142909029666,0.9992748153239783,-1.2039728043259361,-3.2274600098545,0.2034415365943263,0.998299993043706
123,0.26627515625,0.44733321875,0.92,1.0,100,0.16,7.9999999999999964,-5.221264191929722,0.6650468691379806,0.9983150716799462,-1.8325814637483102,-5.003987415045955,0.5422113138840302,0.9923707262830814
124,0.2912369375,0.36318125,0.92,1.0,100,0.2,7.9999999999999964,-4.708752517390551,0.5978542378399498,0.9985891549818776,-1.6094379124341003,-4.686278313160694,0.5777230688690815,0.9977688779468539
125,0.32297565625,0.216510375,0.92,1.0,100,0.3,7.9999999999999964,-4.1322526897482295,0.5196440582669954,0.9992497660498235,-1.2039728043259361,-3.9618074244112345,0.4156427089192592,0.9981649837870782
126,0.30286559375,0.402827625,0.92,1.0,120,0.16,9.599999999999994,-5.573722407374866,0.7521262557459242,0.9987768984117454,-1.8325814637483102,-5.45601292348964,0.685785642488078,0.9955244889341635
127,0.3290066875,0.31948690625,0.92,1.0,120,0.2,9.599999999999994,-5.077139470157572,0.6961348158400436,0.9991988182814016,-1.6094379124341003,-5.092588756578207,0.692201052166296,0.9971079521930576
128,0.35837484375,0.1820535625,0.92,1.0,120,0.3,9.599999999999994,-4.391153931500255,0.5757295818990119,0.9987122539202797,-1.2039728043259361,-4.178226487559019,0.42597940855993854,0.9993937101384794
129,0.3917758125,0.30344384375,0.92,1.0,180,0.16,14.399999999999993,-6.63316108628897,0.9768342389122275,0.994296848881569,-1.8325814637483102,-6.756241607483899,1.0439447771019958,0.9926554273253603
130,0.4131300625,0.229158046875,0.92,1.0,180,0.2,14.399999999999993,-5.8470734219315394,0.8190047843820005,0.9981980565011461,-1.6094379124341003,-5.659883706342345,0.7031086495202812,0.9971598203181725
131,0.4339960625,0.116088265625,0.92,1.0,180,0.3,14.399999999999993,-5.14953598005675,0.7031792925283631,0.9982194146809467,-1.2039728043259361,-4.767278955481756,0.4537994426340859,0.9984642484842386
132,0.41426959375,0.27893690625,0.92,1.0,200,0.16,15.999999999999993,-6.867493454040552,1.0044050077611562,0.9977248215959627,-1.8325814637483102,-6.460436775983996,0.80350372158775,0.9925556244846875
133,0.4348753125,0.20784828125,0.92,1.0,200,0.2,15.999999999999993,-6.118600493723061,0.8600678940022577,0.9972715842464956,-1.6094379124341003,-6.053690837996825,0.8152052603787228,0.9957341958339249
134,0.4535926875,0.10162190625,0.92,1.0,200,0.3,15.999999999999993,-5.318754135718357,0.7079992807198402,0.9979312374576315,-1.2039728043259361,-4.885949888531579,0.4184405666132546,0.996579298607227
135,0.106719625,0.48673584375,0.92,2.0,50,0.16,3.9999999999999982,-4.408642827014643,0.06959426532709527,0.9985213471058237,-1.1394342831883648,-4.396692563577082,0.05561621533347843,0.9960987475075027
136,0.1155310390625,0.39752859375,0.92,2.0,50,0.2,3.9999999999999982,-4.121400145986311,0.06956131082510443,0.9993550335291695,-0.916290731874155,-4.214571631385498,0.11933993204121378,0.9971495654069973
137,0.1278274921875,0.233675390625,0.92,2.0,50,0.3,3.9999999999999982,-3.6853147317711503,0.016066509316830832,0.9994212979042089,-0.5108256237659907,-3.8483644512776234,0.14564544348755998,0.9987366481321817
138,0.20048803125,0.3430639375,0.92,2.0,100,0.16,7.9999999999999964,-5.881738902711795,0.6211753800453167,0.9985173115842922,-1.1394342831883648,-5.766847762630745,0.5741145048426275,0.9961320715113673
139,0.212271078125,0.255329578125,0.92,2.0,100,0.2,7.9999999999999964,-5.419387914336613,0.5607182663964351,0.9989913770372038,-0.916290731874155,-5.41667179871581,0.5572064085996621,0.9974236457643789
140,0.223979046875,0.12170478125,0.92,2.0,100,0.3,7.9999999999999964,-4.846354311359853,0.44800888478564505,0.9988966352733375,-0.5108256237659907,-4.740772491596749,0.36349090241210813,0.9988711397940784
141,0.231960375,0.301771625,0.92,2.0,120,0.16,9.599999999999994,-6.256555625706657,0.7147746914258852,0.9979303481978711,-1.1394342831883648,-6.1695785666342235,0.6724833465880337,0.9929272234213021
142,0.243566625,0.218469515625,0.92,2.0,120,0.2,9.599999999999994,-5.769003925670628,0.641840567721508,0.9990912198222648,-0.916290731874155,-5.750676847761326,0.6260686089629814,0.9948605033846247
143,0.25308684375,0.097847859375,0.92,2.0,120,0.3,9.599999999999994,-5.228630661213043,0.5353861798072757,0.9992077930369005,-0.5108256237659907,-4.950575799640032,0.34479835570595346,0.9983659966204463
144,0.3064905625,0.21609515625,0.92,2.0,180,0.16,14.399999999999993,-7.2860647012407815,0.8919454547866349,0.9986216542082772,-1.1394342831883648,-7.4437192326144075,0.9624920779085311,0.9734555322121997
145,0.3153475,0.146332828125,0.92,2.0,180,0.2,14.399999999999993,-6.74072034599924,0.7945878732449966,0.9985737662776049,-0.916290731874155,-6.594983926063736,0.7126730836001965,0.995759242024432
146,0.32128178125,0.0557897109375,0.92,2.0,180,0.3,14.399999999999993,-6.133994183108424,0.665514481885963,0.998768803147834,-0.5108256237659907,-5.6829731726398895,0.34846571144750216,0.9981140675636653
147,0.32632153125,0.19539690625,0.92,2.0,200,0.16,15.999999999999993,-7.661417023482592,0.9509102888002073,0.9950193681725211,-1.1394342831883648,-7.591188578046533,0.920585565379775,0.9885409397983437
148,0.33446678125,0.13009490625,0.92,2.0,200,0.2,15.999999999999993,-6.9201748242782495,0.7912560735700639,0.9949772184175584,-0.916290731874155,-6.826946198414894,0.7056929684021874,0.9957562153725892
149,0.34017765625,0.0469919140625,0.92,2.0,200,0.3,15.999999999999993,-6.36872017912736,0.6816551649713287,0.9982844258998465,-0.5108256237659907,-5.909997600165005,0.3461579486873152,0.9968484837267221
150,0.183678875,0.7893056875,0.93,0.01,50,0.16,3.4999999999999973,-3.1702260758934373,0.07674157211486808,0.9973830988802895,-6.437751649736401,-3.1232489413708677,0.039741981865141204,0.9951507038764335
151,0.22597715625,0.7461336875,0.93,0.01,50,0.2,3.4999999999999973,-2.811937559098733,0.08298655341215043,0.997563380892083,-6.214608098422191,-2.837001867793986,0.08694215903438227,0.9950256867344663
152,0.3168914375,0.652851,0.93,0.01,50,0.3,3.4999999999999973,-2.3147865714018514,0.08715930193807751,0.9990613130523874,-5.809142990314028,-2.4567095094441784,0.1942305560267147,0.9956867593178146
153,0.33450990625,0.637915,0.93,0.01,100,0.16,6.999999999999995,-4.286390332103695,0.6145593526120068,0.998845776348429,-6.437751649736401,-4.173774579938685,0.5483265131700406,0.9945476747066231
154,0.39310728125,0.5783175,0.93,0.01,100,0.2,6.999999999999995,-3.8793574352440703,0.6129541777551448,0.9996074518876708,-6.214608098422191,-3.8348449229493773,0.5939313153095793,0.9973999326090411
